From,To,Length,Cost,Var
72,277,2179.281715,52.15232617,98.41503188
72,423,1933.671041,94.03478151,368.4020651
73,368,747.6592605,12.56943297,13.5640089
73,1172,680.9342629,39.96193313,61.97307978
74,1396,2847.913944,54.98116037,634.9864795
74,1874,5178.755161,38.8304857,118.2548558
74,102,2514.976447,96.55272007,627.7313006
75,778,3231.919547,168.7577481,2817.35273
75,535,3561.461404,40.40494706,217.017171
75,730,2556.670043,60.69397677,151.864973
76,394,233.2483219,62.19162885,217.0719191
76,255,1044.207014,39.76401404,68.3046303
76,509,1103.828643,92.57514204,1230.232569
76,689,335.3540978,49.11142715,94.58979211
77,282,217.7158719,139.4057045,2232.486571
77,395,433.0946594,226.9392288,4796.34443
77,910,543.3340304,196.3876579,14783.39396
78,1032,260.1592847,14.32968765,93.36468972
78,927,315.986651,12.88947039,33.4679947
78,474,171.0052479,29.62390066,29.77406199
79,1067,513.6855656,79.19067236,487.6021761
79,205,518.3521345,64.83803395,1429.920252
79,1268,686.2321224,55.62116662,71.88407522
79,740,66.08638951,68.20588786,1062.207605
80,324,155.8463457,87.86077487,2214.079344
80,136,490.4980126,103.3329057,451.9649385
81,123,269.7031656,148.0814028,600.9978598
82,96,270.7760379,113.1966246,509.9466614
82,312,244.0320835,105.1358046,710.9558256
82,208,343.7264565,128.3462,3014.093813
83,656,645.8292508,56.5507917,182.7059795
83,494,367.8425915,28.52815054,67.96167067
84,1487,333.8853966,70.58407771,631.4597776
84,1448,494.3112084,60.28269061,186.3396219
1442,84,403.8793365,28.68756848,34.86551696
84,803,1348.923914,75.56831725,410.9655658
85,1407,1662.937701,52.92446919,186.9240512
85,1021,2259.420999,60.11782087,227.8764459
85,1201,176.3622819,59.8995026,157.9877799
86,170,160.9066087,149.1922266,748.0334941
86,212,299.4921877,47.22601301,505.0901759
86,329,698.8963881,96.35125162,1064.804726
86,316,464.4351601,150.8487744,428.8708225
87,356,402.5694056,43.52029289,231.7683212
87,973,883.1558153,24.23324422,21.85525677
87,213,987.1946311,65.68612219,576.1364968
88,1762,766.5512676,24.84787806,19.40213709
88,1190,964.822029,33.35246902,33.00364135
88,570,949.7687465,28.46403297,54.51891435
89,1453,1234.279989,116.196671,742.9792245
89,404,633.6067313,53.24328784,133.124561
89,1845,619.7093779,27.25177015,101.2619882
89,1003,711.2274612,35.3731056,8.877766721
90,500,1080.785337,42.82278331,58.17278214
90,527,792.6168708,70.98445996,179.7727961
91,321,214.3025008,69.08794138,816.8780323
91,308,269.0872958,81.66529099,972.6678744
92,878,363.9071631,16.66521305,22.39689296
92,283,520.1873761,63.0663552,409.7745013
92,1180,418.6414886,75.99127919,233.661904
92,510,209.2367022,61.94684247,149.6559347
93,664,366.3525489,23.21331631,36.11601813
93,271,364.7385995,56.51811238,379.6458825
93,574,1658.984337,60.61250652,104.986778
93,1211,477.5222472,217.3828986,3616.049404
94,220,1769.885404,175.0845222,3825.072326
94,259,460.3875534,76.82558695,169.7640019
94,337,256.210622,66.17184059,350.4686655
94,311,443.8111945,76.55983478,94.52978376
95,123,232.8683491,91.78828426,466.6016399
95,207,174.7956832,238.8742986,1030.995548
95,165,144.6887032,95.16939274,402.3428497
95,137,198.5438166,248.3565347,2685.35099
96,1020,214.3053235,61.51139696,256.2219181
96,273,224.9325864,128.558895,652.3004885
96,152,124.055725,123.5532722,2858.6544
97,181,437.604509,29.74378081,1.966970675
97,741,104.1724733,62.22390969,453.8246906
98,1608,190.9052235,58.71320516,246.67848
98,1013,280.2382615,53.84106282,152.8477587
98,1478,272.1300849,59.93793433,341.9895568
98,1378,622.3122248,49.94376474,71.03601566
99,276,537.6519444,39.34601758,153.4202165
99,1237,250.6598557,63.08470938,180.7249193
99,923,284.4441927,31.80614402,66.39886138
100,427,297.4542591,68.68508965,302.7207247
100,211,346.78701,74.61181211,367.4634116
100,170,310.8469857,66.67142857,171.7941043
101,1043,859.1051817,80.74599013,839.7168975
101,413,120.950215,38.62794439,58.28225519
101,402,931.4646503,27.98571319,43.83733172
102,1536,1083.881004,153.8809167,1641.833334
102,1800,762.4217694,24.9614568,33.61183817
